our_code,supplier_code,description,pack_size_ea
H100006,,Plate Paper FSC  230mm Lily Fiesta 25pk,200
H100007,,Plate Paper FSC 230mm Fiesta 50pk,400
H100008,,Plate Paper FSC 230mm Fiesta 250pk,"1,000"
H100009,,Plate Paper FSC  Dinner 250mm Lily Fiesta 25pk,200
H100010,,Cup Paper FSC Cold 270ml Fiesta 50pk,"1,000"
H100012,,Cup Paper FSC Cold 495ml Fiesta 50pk R,"1,000"
H100068,,Cup PE FSC SW (80dia) 280ml 8oz Graduated Measure,"1,000"
H100073,,Cup Portion PS 2oz 60ml Clear 50pk,"1,000"
H100077,,Clamshell Paper Night and Day,500
H100093,,Bowl PP 2L White,120
H100095,,Ctnr PP 5L Black,75
H100096,,Lid PP 5L Black V4,150
H100099,,Lid  PS Domed UniLid (90dia) Black,"1,000"
H100124,,Ctnr PP 5L White,75
H100125,,Lid PP 5L White,150
H100126,,Cup DW PE FSC  (90dia) 400ml 12oz Te Huia,500
H100128,,Ctnr Paper FSC 140ml Patagonia,"1,000"
H100130,,Cup PLA FSC  SW (80dia) 225ml 6oz Espresso Studio,"1,000"
H100131,,Cup PLA FSC SW (80dia) 8oz Espresso Studio,"1,000"
H100132,,Cup PLA FSC SW (90dia) 400ml 12oz Espresso Studio,"1,000"
H100139,,Crowns for BK,500
H100148,,Ctnr Paper FSC 480ml EF NZN Cookies&Cream,500
H100150,,Ctnr Paper FSC 480ml EF NZN Mango,500
H100164,,Cup PLA FSC  SW 285ml Koru R,600
H100165,,Cup PLA FSC SW 400ml Koru R,"1,000"
H100176,,Food Container paper PLA  24oz  Graduated Measure,500
H100181,,Lid Flat PET 119dia  Clear,"1,000"
H100182,,Cup PLA FSC  SW 400ml The Strongest Drink in Town R,"1,000"
H100183,,Cup PLA FSC SW (80dia) 225ml 6oz Black,"1,000"
H100189,,Cup Portion PLA FSC 1oz Graduated Measure,"2,000"
H100191,,Ctnr Paper FSC 255ml Patagonia,"1,000"
H100192,,Cup PLA FSC DW (90dia) 300ml 8oz Tea & Kiosk,500
H100193,,Cup PLA FSC  DW (90dia) 400ml 12oz Tea & Kiosk,500
H100200,,Cup PLA FSC  SW (90dia) 300ml 8oz Industry Cafe,"1,000"
H100201,,Cup PLA FSC  SW (90dia) 400ml 12oz Industry Cafe,"1,000"
H100202,,Cup PLA FSC  SW (90dia) 500ml 16oz Industry Cafe,"1,000"
H100203,,Cup PLA FSC SW (86.5dia) 285ml Black,600
H100204,,Cup PLA FSC SW (86.5dia) 400ml Black,"1,000"
H100205,,Cup PLA FSC  SW (86.5dia) 485ml Black,450
H100206,,Cup PLA FSC DW (86.5dia) 285ml Black,500
H100207,,Cup PLA FSC DW (86.5dia) 400ml Black,500
H100208,,Cup PLA FSC DW (86.5dia) 485ml Black,300
H100209,,Cntr PP 171ml 74dia Clear,"2,500"
H100210,,Lid PET 74dia Clear,"2,500"
