our_code,supplier_code,description,pack_size_ea
SC10X5SQR-PF,,Plate Rectangle Sugarcane Future Friendly 10x5inch,500
SC12.5OVL-PF,,Plate Oval Sugarcane Future Friendly 12.5x10inch,500
SC12DLID,,Dome Lid PET 12oz Top Hat,"1,000"
SC12RBWL-PF,,Bowl Round Sugarcane Future Friendly 12oz 350ml,"1,000"
SC18DLID,,Dome Lid PET 18oz Top Hat,200
SC18OLID,,Dome Lid PET 18oz Burrito,300
SC18RBWL-PF,,Bowl Round Sugarcane Future Friendly 18oz 500ml,600
SC24OBWL-PF,,Bowl Oval Sugarcane Future Friendly 24oz,300
SC24OLID,,Dome Lid PET  24oz Burrito,300
SC32RBWL,,Bowl Round Sugarcane Future Friendly 32oz 950ml R,400
SC6RND-PF,,Plate Round Sugarcane Future Friendly 6inch,"1,000"
SC6SQR-PF,,Plate Square Sugarcane Future Friendly 6inch,500
SC8SQR-PF,,Plate Square Sugarcane Future Friendly 8 inch,500
SC9CRND-PF,,Plate Round Sugarcane Future Friendly 9inch 3 Compartme,500
SC9RND-PF,,Plate Round Sugarcane Future Friendly 9 inch R,500
SCC1,,Box Burger Future Friendly 480ml Cream R,500
SCC17-PF,,Clamshell Sml Dinner Sugarcane Future Friendly 8x 8inch,200
SCC2-PF,,Clamshell Box Divided Bioware 1000ml Cream,300
SCC4-PF,,Clamshell Snack Sugarcane Future Friendly 9x6inch,200
SCC5,,Clamshell 3 compartment Small Dinner Sugarcane 8x 8inch,200
SCC5L-PF,,Clamshell Lrg Dinner Sugarcane 9x9inch 3 Comp,200
SCSC02-PF,,Cup Portion Sugarcane 50ml/2oz 62x32mm,"2,000"
SCSC04,,Cup Portion Sugarcane 113ml/4oz 75x48mm R,"2,000"
SRL16/22,,Lid   PS   SRL 16/22oz Translucent,"2,000"
SW440019,,Paper FSC Hot Chip Cup 440ml Newsprint,"1,000"
SW8002,,Cup Paper FSC  Hot 8oz White,"1,000"
SWS495004HC,,Cup Paper FSC  Hot SW 495ml Black R,450
T72PP170-002,,Cup PP Cold 170ml White,"1,000"
T72PP230-002,,Cup PP Cold 230ml White,"1,000"
TCR1000,,Tray PP Rectangle 1000ml Clear,500
TCR500,,Tray PP Rectangle 500ml Clear,500
TCR650,,Tray PP Rectangle 650ml Clear,500
TCR750,,Tray PP Rectangle 750ml Clear,500
TCRLID,,Lid PP Rectangle Clear,500
TDP25,,Tray MF 4Cup Carrier Perforated 25pk,300
TDP25-2C,,Tray MF 2Cup Carrier 25pk,300
TFLID-MF,,Lid Domed Sugarcane UniLid (86.5dia),"1,000"
UNI-LID-002,,Lid PS  Domed UniLid White,"1,000"
UNI-LID-004,,Lid  PS  Domed UniLid Black,"1,000"
UNI-LID-BLACKMCD,,Lid PS Domed Black 3-In-1 For McDonalds,"2,000"
WCFRK,,Fork Wooden FSC  160mm 100pk,"1,000"
WCFRKC,,Fork Wooden FSC Coated 160mm 100pk R,"1,000"
WCFRKIW,,Fork Wooden FSC 160mm Individually Wrapped,500
WCKNF,,Knife Wooden FSC  160mm 100pk,"1,000"
WCKNFC,,Knife Wooden FSC Coated 160mm 100pk R,"1,000"
WCSPK,,Spork Wooden FSC 160mm 100pk,"1,000"
WCSPN,,Spoon Wooden FSC 160mm 100pk,"1,000"
WCSPNIW,,Spoon Wooden FSC 160mm Individually Wrapped,500
WCTSPN,,Teaspoon Wooden FSC  100mm 100pk,"1,000"
WCTSPNC,,Teaspoon Wooden FSC Coated 100mm 100pk R,"1,000"
